ident(String),type(String),name(String),elevation_ft(Integer),continent(String),iso_country(String),iso_region(String),municipality(String),gps_code(String),local_code(String),coordinates(String)
26NY,heliport,Vamc Heliport,100,NA,US,US-NY,Northport,26NY,26NY,"40.92509841918945, -73.30619812011719"
26OG,small_airport,Oakridge Ranch Airport,1560,NA,US,US-OR,Eagle Point,26OG,26OG,"42.463021, -122.734744"
26OH,closed,Hitz Airport,1180,NA,US,US-OH,Louisville,,,"40.875301, -81.295097"
26OK,small_airport,Duck Creek Airport,700,NA,US,US-OK,Mounds,OK36,OK36,"35.882198, -96.004402"
26OR,closed,Cub Port Airport,640,NA,US,US-OR,Happy Valley,,,"45.437901, -122.527868"
26PA,heliport,Pennys Heliport,710,NA,US,US-PA,Fleetwood,26PA,26PA,"40.43980026245117, -75.83709716796875"
26PN,heliport,Leeds & Northrup Co. Heliport,346,NA,US,US-PA,North Wales,26PN,26PN,"40.216800689697266, -75.27880096435547"
26SD,heliport,Shooting Star Ranch Heliport,3902,NA,US,US-SD,Radip City,26SD,26SD,"44.02750015258789, -103.28700256347656"
26TA,heliport,Red Barn Heliport,35,NA,US,US-TX,Baytown,26TA,26TA,"29.803300857543945, -95.00379943847656"
26TE,heliport,Parkview Center Hospital Heliport,86,NA,US,US-TX,Houston,26TE,26TE,"29.86829948425293, -95.40850067138672"
26TS,heliport,Memorial Hospital-The Woodlands Heliport,150,NA,US,US-TX,The Woodlands,26TS,26TS,"30.176000595092773, -95.45659637451172"
26TX,small_airport,Lowrance Ranch Airport,1692,NA,US,US-TX,Truscott,26TX,26TX,"33.764801025390625, -100.01799774169922"
26VA,heliport,Fairfax County Police Heliport,450,NA,US,US-VA,Fairfax,26VA,26VA,"38.85319900512695, -77.37300109863281"
26VT,heliport,Brattleboro Memorial Hospital Heliport,416,NA,US,US-VT,Brattleboro,26VT,26VT,"42.843897, -72.567033"
26W,small_airport,Wolf Lake Airport,980,NA,US,US-MI,Napoleon,26W,26W,"42.20970153808594, -84.23169708251953"
26WA,heliport,Olympic Memorial Hospital Heliport,96,NA,US,US-WA,Port Angeles,26WA,26WA,"48.11940002441406, -123.4000015258789"
26WI,small_airport,Kitty-Wompus Airport,1336,NA,US,US-WI,Exeland,26WI,26WI,"45.699100494384766, -91.30349731445312"
26XA,heliport,Solana North Heliport,630,NA,US,US-TX,Westlake,26XA,26XA,"32.984444, -97.171667"
26XS,small_airport,Tatum Ranch Airport,1420,NA,US,US-TX,Blanco,26XS,26XS,"30.114099502563477, -98.4614028930664"
27AK,heliport,Pad-66 Heliport,60,NA,US,US-AK,Kuparuk,27AK,27AK,"70.34300231933594, -149.58900451660156"
27AL,small_airport,Little Texas Airport,500,NA,US,US-AL,Tuskegee,27AL,27AL,"32.45349884033203, -85.55819702148438"
27AR,heliport,Nw Medical of Benton Heliport,1277,NA,US,US-AR,Bentonville,27AR,27AR,"36.33890151977539, -94.19000244140625"
27AZ,small_airport,Eagle Roost Airpark,2206,NA,US,US-AZ,Aguila,27AZ,27AZ,"33.919498443603516, -113.16699981689453"
27C,small_airport,Mecosta Morton Airport,1022,NA,US,US-MI,Mecosta,27C,27C,"43.62919998168945, -85.26249694824219"
27CA,small_airport,Holiday Ranch Airport,3260,NA,US,US-CA,Apple Valley,27CA,27CA,"34.561100006103516, -117.08100128173828"
27CL,small_airport,Sopwith Farm Airport,20,NA,US,US-CA,Pleasant Grove,27CL,27CL,"38.747100830078125, -121.572998046875"
27CN,heliport,Sce Pardee Substation Helistop,1073,NA,US,US-CA,Newhall,27CN,27CN,"34.4385986328125, -118.5790023803711"
27CO,small_airport,Roubideau Airport,4900,NA,US,US-CO,Delta,27CO,27CO,"38.72600173950195, -108.12899780273438"
27FA,heliport,Orange County Sheriff's Office Heliport,98,NA,US,US-FL,Orlando,27FA,27FA,"28.50749969482422, -81.41339874267578"
27FD,heliport,Coastal Helicopters Inc Heliport,20,NA,US,US-FL,Panama City,27FD,27FD,"30.2721004486084, -85.52079772949219"
27FL,heliport,Wesley Chapel Medical Center Heliport,60,NA,US,US-FL,Wesley Chapel,27FL,27FL,"28.19471, -82.350453"
27GA,small_airport,Wilson International Airport,1050,NA,US,US-GA,Carrollton,27GA,27GA,"33.65840148925781, -85.00990295410156"
27IA,small_airport,Oldfield Aero,750,NA,US,US-IA,Keosauqua,27IA,27IA,"40.75130081179999, -92.0307006836"
27II,heliport,Fort Benjamin Harrison Hospital Heliport,860,NA,US,US-IN,Indianapolis,27II,27II,"39.8650016784668, -85.997802734375"
27IL,heliport,Jersey Community Hospital Heliport,630,NA,US,US-IL,Jerseyville,27IL,27IL,"39.11000061035156, -90.34369659423828"
27IN,heliport,St Vincent Indianapolis Hospital Heliport,833,NA,US,US-IN,Indianapolis,27IN,27IN,"39.90800094604492, -86.19349670410156"
27IS,small_airport,Gelfius International Airport,530,NA,US,US-IL,Dahlgren,27IS,27IS,"38.14889907836914, -88.67030334472656"
27JY,heliport,Heaton Heliport,942,NA,US,US-NJ,Newton,27JY,27JY,"41.126178, -74.82275"
27KS,small_airport,Bellamy Farm Airport,3650,NA,US,US-KS,Goodland,27KS,27KS,"39.12889862060547, -101.71700286865234"
27KY,closed,Bogle Farm Heliport,550,NA,US,US-KY,Bowling Green,,,"36.951099, -86.508102"
27LA,heliport,Baton Rouge General Hospital Heliport,93,NA,US,US-LA,Baton Rouge,27LA,27LA,"30.44879913330078, -91.1531982421875"
27LL,small_airport,Ralph Jacobs Airport,400,NA,US,US-IL,Valmeyer,27LL,27LL,"38.375099182128906, -90.31929779052734"
27LS,heliport,La Dotd Headquarters Heliport,65,NA,US,US-LA,Baton Rouge,27LS,27LS,"30.459199905395508, -91.17639923095703"
27MA,seaplane_base,Wamsetto Seaplane Base,,NA,US,US-MA,Berkley,27MA,27MA,"41.82059860229492, -71.11470031738281"
27MD,small_airport,Myles Landing Airport,70,NA,US,US-MD,Church Hill,27MD,27MD,"39.098332, -75.895029"
27MI,small_airport,Miller Field,705,NA,US,US-MI,Vassar,27MI,27MI,"43.372798919677734, -83.48660278320312"
27MN,small_airport,Lake Bronson Airport,960,NA,US,US-MN,Lake Bronson,27MN,27MN,"48.73749923706055, -96.65450286865234"
27MO,small_airport,Route 66 Airfield,1055,NA,US,US-MO,Carthage,27MO,27MO,"37.19390106201172, -94.22419738769531"
27MT,small_airport,Rahn Airport,3090,NA,US,US-MT,Kalispell,27MT,27MT,"48.3218994140625, -114.3270034790039"
27NC,heliport,Brunswick Media Center Heliport,27,NA,US,US-NC,Southport,27NC,27NC,"33.95069885253906, -78.02439880371094"
27NE,small_airport,Hendricks Field,3450,NA,US,US-NE,Grant,27NE,27NE,"40.722801208496094, -101.7959976196289"
27NH,heliport,Phantom One Heliport,1315,NA,US,US-NH,Hanover,27NH,27NH,"43.673972, -72.206472"
27NJ,heliport,Sony Music Heliport,125,NA,US,US-NJ,Pitman,27NJ,27NJ,"39.748199462890625, -75.12799835205078"
27NK,small_airport,Mohawk Air Park,1079,NA,US,US-NY,Schyler,27NK,27NK,"43.113317, -75.044467"
27NY,heliport,Don's Heliport,385,NA,US,US-NY,Wallkill,27NY,27NY,"41.621498107910156, -74.24240112304688"
27OH,small_airport,Schaller Airport,830,NA,US,US-OH,Findlay,27OH,27OH,"40.94670104980469, -83.67990112304688"
27OI,closed,Auburn Airport,1200,NA,US,US-OH,Chagrin Falls,,,"41.410301, -81.284302"
27OK,small_airport,Thomas Landing Airport,1110,NA,US,US-OK,Ponca City,27OK,27OK,"36.7422981262207, -96.96389770507812"
27OR,heliport,Time Flies Private Heliport,138,NA,US,US-OR,Newport,27OR,27OR,"44.6531982421875, -124.06099700927734"
27PA,heliport,Fort Lee Heliport,1995,NA,US,US-PA,Nicktown,27PA,27PA,"40.65140151977539, -78.82720184326172"
27PN,small_airport,Shelley Private Airport,750,NA,US,US-PA,Richfield,27PN,27PN,"40.68119812011719, -77.16190338134766"
27SC,heliport,Upair Heliport,251,NA,US,US-SC,Lugoff,27SC,27SC,"34.229400634765625, -80.68219757080078"
27SD,heliport,Albrecht Heliport,1722,NA,US,US-SD,De Smet,27SD,27SD,"44.295501708984375, -97.55259704589844"
27TA,heliport,Headwind Heliport,525,NA,US,US-TX,Tyler,27TA,27TA,"32.343101501464844, -95.19709777832031"
27TE,heliport,Sierra Providence Hospital Heliport,4002,NA,US,US-TX,El Paso,27TE,27TE,"31.791117, -106.263583"
27TN,heliport,Memphis Police Department Heliport,240,NA,US,US-TN,Memphis,27TN,27TN,"35.2494010925293, -90.01580047607422"
27TS,heliport,Walden Ranch Heliport,525,NA,US,US-TX,Wylie,27TS,27TS,"33.0181999206543, -96.50689697265625"
27TX,heliport,Charter Bank Building Heliport,60,NA,US,US-TX,Houston,27TX,27TX,"29.741899490356445, -95.48470306396484"
27VA,heliport,Prince William Hospital Heliport,243,NA,US,US-VA,Manassas,27VA,27VA,"38.76580047607422, -77.48780059814453"
27W,small_airport,Lake Wenatchee State Airport,1939,NA,US,US-WA,Leavenworth,27W,27W,"47.819400787353516, -120.72000122070312"
27WA,small_airport,J C's Airport,236,NA,US,US-WA,Conway,27WA,27WA,"48.32509994506836, -122.31600189208984"
27WI,small_airport,Tegeler Airport,950,NA,US,US-WI,Prescott,27WI,27WI,"44.807701110839844, -92.71379852294922"
27WV,small_airport,Kurt's Field,670,NA,US,US-WV,Poca,27WV,27WV,"38.4788193, -81.8036944"
27XA,small_airport,Arnett Landing Airport,1180,NA,US,US-TX,Poolville,27XA,27XA,"32.979389, -97.889917"
27XS,small_airport,Sport Flyers Airport,180,NA,US,US-TX,Brookshire,27XS,27XS,"29.837999, -95.94981"
28A,small_airport,Goose Creek Airport,565,NA,US,US-NC,Indian Trail,28A,28A,"35.12099838256836, -80.5873031616211"
28AK,small_airport,Gates Ranch Airport,1875,NA,US,US-AK,Glacier View,28AK,28AK,"61.808899, -147.858993"
28AL,closed,Golden Pond Airport,540,NA,US,US-AL,Ashville,,,"33.862597, -86.120696"
28AR,small_airport,Henley Aerodrome,377,NA,US,US-AR,Charlotte,28AR,28AR,"35.83330154418945, -91.43329620361328"
28AZ,small_airport,Sampley's Airport,2208,NA,US,US-AZ,Aguila,28AZ,28AZ,"33.922798156738, -113.18099975586"
28CA,small_airport,Dos Palos Airport,118,NA,US,US-CA,Dos Palos,28CA,28CA,"36.962398529052734, -120.62999725341797"
28CL,closed,Borax Heliport,2400,NA,US,US-CA,Boron,,,"35.030498, -117.708"
28CN,heliport,San Joaquin Community Hospital Heliport,465,NA,US,US-CA,Bakersfield,28CN,28CN,"35.38359832763672, -119.0199966430664"
28CO,heliport,Blm Fire Center Heliport,4820,NA,US,US-CO,Grand Junction,28CO,28CO,"39.117801666259766, -108.53900146484375"
28FA,heliport,N Broward Medical Center Heliport,21,NA,US,US-FL,Pompano Beach,28FA,28FA,"26.278400421142578, -80.12200164794922"
28FD,heliport,Jackson County Hospital Heliport,145,NA,US,US-FL,Marianna,28FD,28FD,"30.787099838256836, -85.24099731445312"
28FL,small_airport,Jim Finlay Farm Airport,40,NA,US,US-FL,Cresent City,28FL,28FL,"29.4419002532959, -81.58309936523438"
28GA,heliport,Hancock Memorial Hospital Heliport,542,NA,US,US-GA,Sparta,28GA,28GA,"33.2681999206543, -82.9718017578125"
28II,small_airport,Cedar Farm Airport,453,NA,US,US-IN,Laconia,28II,28II,"37.974700927734375, -86.05619812011719"
28IL,small_airport,West Grove Airport,910,NA,US,US-IL,Leaf River,28IL,28IL,"42.097198486328125, -89.41929626464844"
28IN,small_airport,Marchino Field,540,NA,US,US-IN,Vincennes,28IN,28IN,"38.63779830932617, -87.43470001220703"
28IS,small_airport,O K Flying Club Inc Airport,665,NA,US,US-IL,Fillmore,28IS,28IS,"39.194801330566406, -89.31179809570312"
28KS,small_airport,Highland Farm Airport,1010,NA,US,US-KS,Rantoul,28KS,28KS,"38.54249954223633, -95.15609741210938"
28KY,small_airport,Brandon Airdrome Airport,525,NA,US,US-KY,Murray,28KY,28KY,"36.57590103149414, -88.31340026855469"
28LA,heliport,Washington Parish Fire Dist 7/OEP Heliport,146,NA,US,US-LA,Bogalusa,28LA,28LA,"30.7833003998, -89.91670227050001"
28LL,small_airport,Williamson Airport,630,NA,US,US-IL,Westervelt,28LL,28LL,"39.46030044555664, -88.86840057373047"
28LS,heliport,Hargroder Heliport,120,NA,US,US-LA,Lafayette,28LS,28LS,"30.169200897216797, -92.0625"
28M,small_airport,Cranland Airport,71,NA,US,US-MA,Hanson,28M,28M,"42.02510070800781, -70.83809661865234"
28MA,small_airport,Cannizzaro Field,250,NA,US,US-MA,Southwick,28MA,28MA,"42.07979965209961, -72.81809997558594"
28MD,heliport,Fedex Field Heliport,190,NA,US,US-MD,Landover,28MD,28MD,"38.908774, -76.866934"
28MI,small_airport,Miller-Herrold Airport,624,NA,US,US-MI,Cedar,28MI,28MI,"44.8744010925293, -85.7926025390625"
28MN,seaplane_base,Vasa Park Seaplane Base,930,NA,US,US-MN,Spring Park,28MN,28MN,"44.963600158691406, -93.62249755859375"
28MO,small_airport,Pasley Airport,790,NA,US,US-MO,Roscoe,28MO,28MO,"37.973899841308594, -93.81880187988281"
28MT,small_airport,Cain Ranch Airport,4480,NA,US,US-MT,Lincoln,28MT,28MT,"46.953556, -112.748083"
28N,small_airport,Vineland-Downstown Airport,120,NA,US,US-NJ,Vineland,28N,28N,"39.537601470947266, -74.96630096435547"
28NC,balloonport,Balloonport of Greensboro Balloonport,800,NA,US,US-NC,Greensboro,28NC,28NC,"35.9557991027832, -79.81890106201172"
28NE,small_airport,Thies Airport,1750,NA,US,US-NE,Randolph,28NE,28NE,"42.44169998168945, -97.29669952392578"
28NH,heliport,A and K Heliport,825,NA,US,US-NH,New Boston,28NH,28NH,"42.9369010925293, -71.66950225830078"
28NK,small_airport,Ritchie Airfield,385,NA,US,US-NY,Clayton,28NK,28NK,"44.186944, -76.076389"
28NR,small_airport,Dry Pond Airport,1130,NA,US,US-NC,Rutherfordton,28NR,28NR,"35.3475, -81.995001"
28NY,small_airport,Spaudling Aerodrome,1607,NA,US,US-NY,Cassadaga,28NY,28NY,"42.308333, -79.225"
28OH,small_airport,Newbury Airport,743,NA,US,US-OH,Lyons,28OH,28OH,"41.703399658203125, -84.00270080566406"
28OI,heliport,Mount Carmel East Hospital Heliport,843,NA,US,US-OH,Columbus,28OI,28OI,"39.98059844970703, -82.84159851074219"
28OK,small_airport,Pellar Farm Airport,1400,NA,US,US-OK,El Reno,28OK,28OK,"35.50279998779297, -98.04060363769531"
28OR,small_airport,Parrett Mountain Airport,790,NA,US,US-OR,Newberg,28OR,28OR,"45.479000091552734, -122.23400115966797"
28PA,small_airport,Yarrow Airport,330,NA,US,US-PA,Schwenksville,28PA,28PA,"40.25120162963867, -75.44550323486328"
28PN,heliport,Harsco Heliport,365,NA,US,US-PA,Wormleysburg,28PN,28PN,"40.25979995727539, -76.90969848632812"
28PR,heliport,La Concepcion Hospital Heliport,120,NA,PR,PR-U-A,San German,28PR,28PR,"18.108699798583984, -67.03939819335938"
28TA,small_airport,Duval County Ranch Co Airport,665,NA,US,US-TX,Freer,28TA,28TA,"27.83359909, -98.71700287"
28TE,small_airport,Midlake Airport,535,NA,US,US-TX,Elmendorf,28TE,28TE,"29.268299102783203, -98.33699798583984"
28TN,heliport,Bhm East Helipad Heliport,261,NA,US,US-TN,Memphis,28TN,28TN,"35.12670135498047, -89.86190032958984"
28TS,small_airport,Boe-Wrinkle Airport,802,NA,US,US-TX,Azle,28TS,28TS,"32.90480041503906, -97.59500122070312"
28TX,small_airport,Lehman Airport,1275,NA,US,US-TX,Vernon,28TX,28TX,"34.085899353027344, -99.4551010131836"
28U,small_airport,Owyhee Reservoir State Airport,2680,NA,US,US-OR,Owyhee,28U,28U,"43.42490005493164, -117.34500122070312"
28VA,heliport,Radford Aap Heliport,1710,NA,US,US-VA,Radford,28VA,28VA,"37.18479919433594, -80.52559661865234"
28WA,small_airport,Robert L Delanoy Airport,30,NA,US,US-WA,Vancouver,28WA,28WA,"45.73040008544922, -122.73500061035156"
28WI,small_airport,Rutherford Airport,790,NA,US,US-WI,Arkansaw,28WI,28WI,"44.60409927368164, -92.04660034179688"
28XA,heliport,Doctors Hospital Heliport,540,NA,US,US-TX,Laredo,28XA,28XA,"27.606717, -99.479453"
28XS,small_airport,Flying G Airport,470,NA,US,US-TX,Kaufman,28XS,28XS,"32.645999908447266, -96.32530212402344"
29A,seaplane_base,Island Lake Seaplane Base,370,NA,US,US-AK,Wasilla,29A,29A,"61.6288986206, -149.617996216"
29AK,small_airport,Remington Field,1250,NA,US,US-AK,Delta Junction,29AK,29AK,"64.04959869384766, -145.41900634765625"
29AR,heliport,White County Medical Center Heliport,273,NA,US,US-AR,Searcy,29AR,29AR,"35.252507, -91.697333"
29AZ,small_airport,Paloma Ranch Airport,737,NA,US,US-AZ,Paloma,29AZ,29AZ,"32.905601501464844, -112.9000015258789"
29C,small_airport,Grindstone Air Harbor Airport,640,NA,US,US-MI,Port Austin,29C,29C,"44.04779815673828, -82.91419982910156"
29CA,heliport,Landells Heliport,940,NA,US,US-CA,Desert Hot Springs,29CA,29CA,"33.25590133666992, -116.4540023803711"
29CL,heliport,Childrens Hospital Los Angeles Heliport,500,NA,US,US-CA,Los Angeles,29CL,29CL,"34.097308, -118.288617"
29CN,small_airport,Dubey Airport,2400,NA,US,US-CA,Georgetown,29CN,29CN,"38.84989929199219, -120.83399963378906"
29CO,heliport,St Mary's Hospital & Medical Center Heliport,4650,NA,US,US-CO,Grand Junction,29CO,29CO,"39.089815, -108.562855"
29F,small_airport,Joe Vaughn Spraying Airport,3500,NA,US,US-TX,Kress,29F,29F,"34.39590072631836, -101.76699829101562"
29FA,seaplane_base,Caloosa Downtown Seaplane Base,2,NA,US,US-FL,Fort Myers,29FA,29FA,"26.635000228881836, -81.875"
29FD,heliport,Gadsden Memorial Hospital Heliport,230,NA,US,US-FL,Quincy,29FD,29FD,"30.570499420166016, -84.54989624023438"
29FL,heliport,Halifax Hospital Medical Center Heliport,46,NA,US,US-FL,Daytona Beach,29FL,29FL,"29.201400756835938, -81.05390167236328"
29GA,small_airport,Rolling Meadows Airfield,808,NA,US,US-GA,Sharpsburg,29GA,29GA,"33.384300231933594, -84.63189697265625"
29II,small_airport,Norm's Airport,750,NA,US,US-IN,Michigan City,29II,29II,"41.6598014831543, -86.80750274658203"
29IL,heliport,Brown Heliport,790,NA,US,US-IL,Heyworth,29IL,29IL,"40.311100006103516, -88.95110321044922"
29IN,small_airport,Homestead Airport,863,NA,US,US-IN,Columbia City,29IN,29IN,"41.07590103149414, -85.38610076904297"
29IS,heliport,Norman Rittenhouse Heliport,640,NA,US,US-IL,Fairbury,29IS,29IS,"40.75749969482422, -88.51339721679688"
29KS,closed,Navrat Airport,1470,NA,US,US-KS,Lincolnville,,,"38.4828, -97.011398"
29KY,small_airport,Cramer Aerodrome,640,NA,US,US-KY,Hopkinsville,29KY,29KY,"36.89310073852539, -87.42720031738281"
29LA,heliport,Our Lady of the Lake R.M.C. Heliport,46,NA,US,US-LA,Baton Rouge,29LA,29LA,"30.404399871826172, -91.10449981689453"
29LL,heliport,Monroe County Ambulance Service Heliport,630,NA,US,US-IL,Waterloo,29LL,29LL,"38.33919906616211, -90.1624984741211"
29LS,seaplane_base,L Auberge du Lac Hotel Seaplane Base,8,NA,US,US-LA,Lake Charles,29LS,29LS,"30.207801, -93.265298"
29MA,heliport,Laminated Heliport,135,NA,US,US-MA,Holyoke,29MA,29MA,"42.201499938964844, -72.59809875488281"
29MD,small_airport,Schlosser Airport,53,NA,US,US-MD,Galena,29MD,29MD,"39.36280059814453, -75.81279754638672"
29ME,seaplane_base,Teconnet Seaplane Base,194,NA,US,US-ME,China,29ME,29ME,"44.448, -69.530333"
29MI,small_airport,Sawyer Field,910,NA,US,US-MI,Mason,29MI,29MI,"42.599998474121094, -84.44999694824219"
29MN,small_airport,Wetenkamp Airport,990,NA,US,US-MN,Tintah,29MN,29MN,"46.02830123901367, -96.36280059814453"
29MO,small_airport,Rollert Farm Airport,1000,NA,US,US-MO,Smithville,29MO,29MO,"39.350799560546875, -94.51860046386719"
29MT,small_airport,Craik Airport,2500,NA,US,US-MT,Trout Creek,29MT,29MT,"47.73889923095703, -115.50299835205078"
29N,small_airport,Kroelinger Airport,93,NA,US,US-NJ,Vineland,29N,29N,"39.52399826049805, -75.04630279541016"
29NC,closed,29NC Airport,930,NA,US,US-NC,Shelby,29NC,29NC,"35.311698913574, -81.625297546387"
29NE,small_airport,Bartmess Airport,3150,NA,US,US-NE,Wallace,29NE,29NE,"40.76110076904297, -101.18099975585938"
29NH,heliport,Sunny Hill Landing Heliport,822,NA,US,US-NH,Lyndeborough,29NH,29NH,"42.88840103149414, -71.73780059814453"
29NJ,heliport,J L Gentile Heliport,110,NA,US,US-NJ,Buena,29NJ,29NJ,"39.483979848, -74.8808383942"
29NY,heliport,Breezy Meadows Heliport,296,NA,US,US-NY,Cape Vincent,29NY,29NY,"44.088, -76.269167"
29OH,small_airport,Fox Airport,1020,NA,US,US-OH,Magnolia,29OH,29OH,"40.6864013671875, -81.30259704589844"
29OI,heliport,Jtv Heliport,630,NA,US,US-OH,Madison,29OI,29OI,"41.81700134277344, -81.06900024414062"
29OK,closed,Ditch Witch Airport,1120,NA,US,US-OK,Perry,,,"36.299999, -97.317002"
29OR,closed,Smith Private Airport,180,NA,US,US-OR,Brooks,,,"45.031799, -122.957002"
29PA,closed,Gardner Airport,500,NA,US,US-PA,Breinigsville,,,"40.556801, -75.643204"
29PN,heliport,St Vincent Health Center Heliport,731,NA,US,US-PA,Erie,29PN,29PN,"42.11169815, -80.08010101"
29RI,heliport,Vaucluse Farm Heliport,40,NA,US,US-RI,Portsmouth,29RI,29RI,"41.542198181152344, -71.23609924316406"
29SC,small_airport,Hannah Rhea Field,89,NA,US,US-SC,Walterboro,29SC,29SC,"32.90140151977539, -80.85359954833984"
29TA,small_airport,Cactus Hill Airport,1040,NA,US,US-TX,Wichita Falls,29TA,29TA,"33.873053, -98.645906"
29TE,heliport,Pearland Heliport,51,NA,US,US-TX,Pearland,29TE,29TE,"29.5585994720459, -95.28079986572266"
29TN,heliport,Bledsoe County Hospital Heliport,957,NA,US,US-TN,Pikeville,29TN,29TN,"35.62015, -85.190875"
29TS,heliport,West Houston Medical Center Heliport,81,NA,US,US-TX,Houston,29TS,29TS,"29.728599548339844, -95.59439849853516"
29TX,small_airport,Lockett Airport,1282,NA,US,US-TX,Vernon,29TX,29TX,"34.09450149536133, -99.3656005859375"
29VA,small_airport,Rhynalds Ranch Airport,285,NA,US,US-VA,Remington,29VA,29VA,"38.529300689697266, -77.73889923095703"
29VT,seaplane_base,Middle Hero Seaplane Base,105,NA,US,US-VT,Grand Isle,29VT,29VT,"44.756389, -73.266667"
29WA,heliport,Crossings Heliport,384,NA,US,US-WA,Tacoma,29WA,29WA,"47.26169967651367, -122.43599700927734"
29WI,small_airport,Whittlesey Cranberry Co Airport,982,NA,US,US-WI,Babcock,29WI,29WI,"44.325500488299994, -90.02739715579999"
29XA,heliport,Seton Edgar B. Davis Hospital Heliport,395,NA,US,US-TX,Luling,29XA,29XA,"29.673581, -97.654828"
29XS,heliport,Temple Eastex Heliport,240,NA,US,US-TX,Diboll,29XS,29XS,"31.1830997467041, -94.78060150146484"
2A4,seaplane_base,Vor Lake Waterlane Seaplane Base,631,NA,US,US-AK,Bettles,2A4,2A4,"66.89929962158203, -151.4720001220703"
2A7,heliport,Department of Transportation Heliport,715,NA,US,US-OH,Columbus,2A7,2A7,"39.959800720214844, -83.04409790039062"
2A8,small_airport,Addison Municipal Airport,786,NA,US,US-AL,Addison,,2A8,"34.217038, -87.158353"
2AK,small_airport,Lime Village Airport,552,NA,US,US-AK,Lime Village,2AK,2AK,"61.3591003418, -155.440002441"
2AK0,small_airport,Mac Kenzie Country Airpark,120,NA,US,US-AK,Point Mackenzie,2AK0,2AK0,"61.2559013367, -149.975006104"
2AK1,small_airport,Blair Lake Airport,910,NA,US,US-AK,Fairbanks /Ft Wainwright/,2AK1,2AK1,"64.36370086669922, -147.36399841308594"
2AK2,small_airport,Clear Creek Airport,660,NA,US,US-AK,Fairbanks /Ft Wainwright/,2AK2,2AK2,"64.45349884033203, -147.56300354003906"
2AK3,heliport,Five Finger CG Heliport,48,NA,US,US-AK,Five Finger,2AK3,2AK3,"57.269843, -133.630371"
2AK4,small_airport,Bootleggers Cove Airport,45,NA,US,US-AK,Homer,2AK4,2AK4,"59.470001, -151.51199"
2AK5,small_airport,Johnstone Point Airport,15,NA,US,US-AK,Hinchinbrook,PAJO,2AK5,"60.4817008972, -146.583999634"
2AK6,small_airport,Hog River Airport,534,NA,US,US-AK,Hogatza,2AK6,2AK6,"66.2161026, -155.6690063"
2AK7,small_airport,Bald Mountain Airport,3600,NA,US,US-AK,Talkeetna,2AK7,2AK7,"62.30739974975586, -149.7519989013672"
2AK8,small_airport,Icy Cape Afs Airport,48,NA,US,US-AK,Icy Cape,2AK8,2AK8,"70.2925033569336, -161.9029998779297"
2AK9,small_airport,Independence Creek Airport,250,NA,US,US-AK,Independence Creek,2AK9,2AK9,"65.67350006103516, -162.46400451660156"
2AL0,closed,Paulling Place Airstrip,275,NA,US,US-AL,Dayton,2AL0,2AL0,"32.351799, -87.545602"
2AL1,small_airport,Collier Airpark,74,NA,US,US-AL,Magnolia Springs,2AL1,2AL1,"30.424100875854492, -87.77780151367188"
2AL2,heliport,Randolph County Hospital Heliport,500,NA,US,US-AL,Roanoke,2AL2,2AL2,"33.15729904174805, -85.38880157470703"
2AL3,small_airport,Emerald Mountain Airport,365,NA,US,US-AL,Wetumpka,2AL3,2AL3,"32.45539855957031, -86.11920166015625"
2AL4,heliport,Petroleum Helicopters Inc Heliport,33,NA,US,US-AL,Theodore,AL67,AL67,"30.431101, -88.179199"
2AL5,small_airport,Flying J Ranch Airport,1430,NA,US,US-AL,Fort Payne,2AL5,2AL5,"34.392799377441406, -85.66500091552734"
2AL6,small_airport,Dale O. Galer Aerodrome,40,NA,US,US-AL,Irvington,2AL6,2AL6,"30.491981, -88.197307"
2AL7,small_airport,Mount Aero Lake Farm Airport,625,NA,US,US-AL,Hanceville,2AL7,2AL7,"34.062801361083984, -86.72309875488281"
2AL8,small_airport,Finkley Farm Airport,413,NA,US,US-AL,Phenix City,2AL8,2AL8,"32.42110061645508, -85.24810028076172"
2AN2,heliport,Ak-Chin Heliport,1073,NA,US,US-AZ,Maricopa,2AN2,2AN2,"33.027222, -112.085278"
2AR0,small_airport,Bully Henry Airport,245,NA,US,US-AR,Lonoke,2AR0,2AR0,"34.868099212646484, -91.97429656982422"
2AR1,closed,Seratt Airport,1305,NA,US,US-AR,Rogers,,,"36.292099, -94.095299"
2AR2,small_airport,Davidson Field,835,NA,US,US-AR,Sage,2AR2,2AR2,"36.015201568603516, -91.79660034179688"
2AR3,heliport,Stone County Medical Center Heliport,765,NA,US,US-AR,Mountain View,2AR3,2AR3,"35.856201171875, -92.08290100097656"
2AR4,small_airport,Jaynes Field,212,NA,US,US-AR,Trumann,2AR4,2AR4,"35.67070007324219, -90.52780151367188"
2AR5,small_airport,Ashmore Field,1362,NA,US,US-AR,Centerton,2AR5,2AR5,"36.38309860229492, -94.29389953613281"
2AR6,small_airport,Glenn Winchester Airport,365,NA,US,US-AR,Mineral Springs,2AR6,2AR6,"33.88180160522461, -93.92849731445312"
2AR7,small_airport,Head Airfield,441,NA,US,US-AR,Prescott,2AR7,2AR7,"33.849098205566406, -93.4791030883789"
2AR8,closed,L C Hickman Airport,1380,NA,US,US-AR,Centerton,,,"36.352798, -94.333097"
